puskesmas_id,wilayah,puskesmas_name,puskesmas_title,n_reviews,n_empty,n_very_short,n_with_rating,rating_mean,rating_median,rating_std,text_length_mean,text_length_median
PKM_SMG_022,Semarang,Ngaliyan,Puskesmas Ngaliyan,1188,297,421,1188,4.62,5.0,1.08,67.83,37.0
PKM_SMG_023,Semarang,Ngemplak Simongan,Puskesmas Ngemplak Simongan,477,59,113,477,4.74,5.0,0.88,69.69,46.0
PKM_SMG_024,Semarang,Ngesrep,Puskesmas Ngesrep,419,115,142,419,4.56,5.0,1.16,95.65,47.0
PKM_SMG_025,Semarang,Padangsari,UPTD Puskesmas Padangsari,382,84,107,382,4.65,5.0,0.99,99.47,56.5
PKM_SMG_026,Semarang,Pandanaran,Puskesmas Pandanaran,692,158,237,692,4.67,5.0,1.02,77.29,40.0
PKM_SMG_027,Semarang,Pegandan,Puskesmas Pegandan,119,22,33,119,4.88,5.0,0.65,57.71,41.0
PKM_SMG_028,Semarang,Poncol,Puskesmas Poncol,385,70,110,385,4.4,5.0,1.29,91.77,48.0
PKM_SMG_029,Semarang,Pudakpayung,Puskesmas Pudakpayung,232,55,73,232,4.48,5.0,1.18,98.87,46.5
PKM_SMG_030,Semarang,Purwoyoso,Puskesmas Purwoyoso,819,229,349,819,4.79,5.0,0.82,49.89,28.0
PKM_SMG_031,Semarang,Rowosari,Puskesmas Rowosari,647,132,180,647,4.52,5.0,1.2,73.75,43.0
PKM_SMG_032,Semarang,Sekaran,Puskesmas Sekaran,660,192,248,660,4.54,5.0,1.19,72.76,36.0
PKM_SMG_033,Semarang,Srondol,Puskesmas Srondol,1686,313,526,1686,4.86,5.0,0.65,59.46,34.0
PKM_SMG_034,Semarang,Tambakaji,Puskesmas Tambakaji,270,73,92,270,4.59,5.0,1.11,77.28,40.0
PKM_SMG_035,Semarang,Telogosari Kulon,UPTD Puskesmas Tlogosari Kulon,1955,346,601,1955,4.75,5.0,0.91,62.35,33.0
PKM_SMG_036,Semarang,Telogosari Wetan,Puskesmas Tlogosari Wetan,835,234,330,835,4.61,5.0,1.09,61.62,29.0
PKM_SMG_037,Semarang,Karanganyar,UPTD Puskesmas Karanganyar,527,168,240,527,4.84,5.0,0.67,46.7,24.0
PKM_SBY_001,Surabaya,Balas  Klumprik,Puskesmas Balas Klumprik,244,56,67,244,4.36,5.0,1.4,101.98,57.0
