puskesmas_id,puskesmas_title,wilayah,avg_rating,jumlah_ulasan,latitude,longitude
PKM_SBY_040,Puskesmas Ketabang,Surabaya,1.14,43,-7.2580613,112.746774
PKM_SBY_041,Puskesmas Krembangan Selatan,Surabaya,1.15,99,-7.233071,112.7312176
PKM_SBY_042,Puskesmas Lidah Kulon,Surabaya,1.09,34,-7.306379,112.661505
PKM_SBY_043,Puskesmas Lontar Surabaya,Surabaya,1.15,73,-7.2850638,112.6627329
PKM_SBY_044,Puskesmas Manukan Kulon,Surabaya,1.12,116,-7.2584652,112.6606438
PKM_SBY_045,Puskesmas Medokan Ayu,Surabaya,1.17,217,-7.3239443,112.7949832
PKM_SBY_046,Puskesmas Mojo Surabaya,Surabaya,1.08,170,-7.2709021,112.7708244
PKM_SBY_047,Puskesmas Pacar Keling Surabaya,Surabaya,1.08,121,-7.2571931,112.7626846
PKM_SBY_048,Pegirian Public Health Center,Surabaya,1.16,38,-7.224634,112.746916
PKM_SBY_049,Puskesmas Peneleh,Surabaya,1.09,75,-7.2523042,112.7408308
PKM_SBY_050,Puskesmas Perak Timur,Surabaya,1.08,88,-7.2227321,112.7354624
PKM_SBY_051,Puskesmas Pucang Sewu,Surabaya,1.2,82,-7.2865941,112.7555283
PKM_SBY_052,Puskesmas Rangkah Surabaya,Surabaya,1.13,85,-7.2463081,112.7672265
PKM_SBY_053,Puskesmas Sememi,Surabaya,1.12,136,-7.2483503,112.6354712
PKM_SBY_054,Puskesmas Sidotopo,Surabaya,1.22,64,-7.2303477,112.7458816
PKM_SBY_055,Puskesmas Sidotopo Wetan,Surabaya,1.2,128,-7.2265892,112.7635013
PKM_SBY_056,Puskesmas Simolawang,Surabaya,1.08,38,-7.2348687,112.7510499
PKM_SBY_057,Puskesmas Simomulyo,Surabaya,1.18,123,-7.2624603,112.7120093
PKM_SBY_058,Puskesmas Tambakrejo,Surabaya,1.08,86,-7.2484481,112.7555557
PKM_SBY_059,Puskesmas Tanah Kali Kedinding,Surabaya,1.14,118,-7.2303762,112.7744697
PKM_SBY_060,Puskesmas Tanjungsari,Surabaya,1.11,71,-7.2594043,112.6892628
PKM_SBY_061,Puskesmas Tembok Dukuh,Surabaya,1.1,121,-7.2545274,112.7192133
PKM_SBY_062,Puskesmas Tenggilis,Surabaya,1.12,91,-7.3223604,112.7621105
PKM_SBY_063,Wonokusumo Public Health Center,Surabaya,1.14,104,-7.219664,112.752562
PKM_SMG_001,Puskesmas Bandarharjo Dadapsari (Pusat),Semarang,1.09,33,-6.964786,110.422563
PKM_SMG_002,Puskesmas Bangetayu,Semarang,1.23,92,-6.9830685,110.4765697
PKM_SMG_003,Puskesmas Bugangan,Semarang,1.18,11,-6.9737931,110.440226
PKM_SMG_004,Puskesmas Bulu Lor,Semarang,1.12,33,-6.9750391,110.4068695
PKM_SMG_005,Puskesmas Candilama,Semarang,1.13,71,-7.013298,110.431682
PKM_SMG_006,PUSKESMAS GAYAMSARI,Semarang,1.19,53,-6.9651965,110.4463644
PKM_SMG_007,Puskesmas Pembantu Pasar Genuk,Semarang,1.1,29,-6.953236,110.479624
PKM_SMG_008,Puskesmas Gunungpati,Semarang,1.2,55,-7.086482,110.3660739
PKM_SMG_009,Puskesmas Halmahera,Semarang,1.22,45,-6.9948818,110.4377612
PKM_SMG_010,Puskesmas Kagok Semarang,Semarang,1.18,51,-7.0085506,110.4173139
PKM_SMG_011,Puskesmas Karangayu,Semarang,1.07,68,-6.9804773,110.3928069
PKM_SMG_012,"Puskesmas Karangdoro (Pelayanan UGD, Rawat Inap dan Rawat Bersalin 24 Jam)",Semarang,1.17,47,-6.963845,110.435838
PKM_SMG_013,Puskesmas Karang Malang,Semarang,1.16,25,-7.094334,110.334057
PKM_SMG_014,Puskesmas Kedungmundu,Semarang,1.26,90,-7.0260414,110.4602739
PKM_SMG_015,Puskesmas Krobokan Lama,Semarang,1.18,39,-6.974921,110.394389
PKM_SMG_016,UPTD Puskesmas Lamper Tengah,Semarang,1.04,24,-7.005125,110.447348
PKM_SMG_017,Puskesmas Lebdosari,Semarang,1.15,47,-6.9938522,110.3793614
PKM_SMG_018,Puskesmas Mangkang,Semarang,1.25,8,-6.972014,110.2978933
PKM_SMG_019,Puskesmas Manyaran,Semarang,1.17,42,-7.0057313,110.3794538
PKM_SMG_020,PUSKESMAS MIJEN,Semarang,1.19,77,-7.0555464,110.3144477
PKM_SMG_021,Puskesmas Miroto,Semarang,1.08,25,-6.983853,110.4190704
PKM_SMG_022,Puskesmas Ngaliyan,Semarang,1.15,78,-6.9978992,110.3473702
PKM_SMG_023,Puskesmas Ngemplak Simongan,Semarang,1.27,22,-7.0007427,110.3932213
PKM_SMG_024,Puskesmas Ngesrep,Semarang,1.21,33,-7.0336142,110.4185555
PKM_SMG_025,UPTD Puskesmas Padangsari,Semarang,1.18,22,-7.07042,110.421706
PKM_SMG_026,Puskesmas Pandanaran,Semarang,1.13,38,-6.9869932,110.4146663
PKM_SMG_027,Puskesmas Pegandan,Semarang,1.0,2,-7.0161076,110.3938188
PKM_SMG_028,Puskesmas Poncol,Semarang,1.15,39,-6.9738947,110.4146029
PKM_SMG_029,Puskesmas Pudakpayung,Semarang,1.24,21,-7.0912732,110.4143908
PKM_SMG_030,Puskesmas Purwoyoso,Semarang,1.11,28,-6.98819,110.367302
PKM_SMG_031,Puskesmas Rowosari,Semarang,1.19,62,-7.0555567,110.4718212
PKM_SMG_032,Puskesmas Sekaran,Semarang,1.29,62,-7.0519504,110.3934893
PKM_SMG_033,Puskesmas Srondol,Semarang,1.18,38,-7.0588407,110.4140973
PKM_SMG_034,Puskesmas Tambakaji,Semarang,1.22,18,-6.9833238,110.3503705
PKM_SMG_035,UPTD Puskesmas Tlogosari Kulon,Semarang,1.16,97,-6.980917,110.457426
PKM_SMG_036,Puskesmas Tlogosari Wetan,Semarang,1.19,57,-6.9967303,110.4643258
PKM_SMG_037,UPTD Puskesmas Karanganyar,Semarang,1.38,13,-6.972013,110.334487
