Puskesmas,Dimensi,z,p_value,Kesimpulan
Pegirian,Assurance,2.065,0.0389,Tolak H0 — lebih sering dikeluhkan
Peneleh,Assurance,-0.348,0.7276,Gagal tolak H0 (setara)
Perak Timur,Assurance,0.238,0.8119,Gagal tolak H0 (setara)
Pucangsewu,Assurance,-1.817,0.0692,Gagal tolak H0 (setara)
Rangkah,Assurance,1.636,0.1018,Gagal tolak H0 (setara)
Sememi,Assurance,0.001,0.999,Gagal tolak H0 (setara)
Sidotopo,Assurance,-0.385,0.6999,Gagal tolak H0 (setara)
Sidotopo Wetan,Assurance,-2.384,0.0171,Tolak H0 — lebih jarang dikeluhkan
Simolawang,Assurance,-0.036,0.9715,Gagal tolak H0 (setara)
Simomulyo,Assurance,1.504,0.1326,Gagal tolak H0 (setara)
Tambakrejo,Assurance,0.405,0.6855,Gagal tolak H0 (setara)
Tanah Kali Kedinding,Assurance,-0.639,0.5225,Gagal tolak H0 (setara)
Tanjungsari,Assurance,2.027,0.0427,Tolak H0 — lebih sering dikeluhkan
Tembok Dukuh,Assurance,1.083,0.279,Gagal tolak H0 (setara)
Tenggilis,Assurance,1.384,0.1665,Gagal tolak H0 (setara)
Wonokusumo,Assurance,-1.184,0.2362,Gagal tolak H0 (setara)
Bandarharjo,Assurance,-0.217,0.8282,Gagal tolak H0 (setara)
Bangetayu,Assurance,-1.164,0.2443,Gagal tolak H0 (setara)
Bugangan,Assurance,-0.884,0.3767,Gagal tolak H0 (setara)
Bulu Lor,Assurance,-0.217,0.8282,Gagal tolak H0 (setara)
Candilama,Assurance,-1.491,0.136,Gagal tolak H0 (setara)
Gayamsari,Assurance,-0.432,0.6659,Gagal tolak H0 (setara)
Genuk,Assurance,-0.719,0.472,Gagal tolak H0 (setara)
Gunungpati,Assurance,-0.216,0.8294,Gagal tolak H0 (setara)
Halmahera,Assurance,-1.391,0.1641,Gagal tolak H0 (setara)
Kagok,Assurance,-2.133,0.0329,Tolak H0 — lebih jarang dikeluhkan
Karangayu,Assurance,2.027,0.0427,Tolak H0 — lebih sering dikeluhkan
Karangdoro,Assurance,-0.46,0.6456,Gagal tolak H0 (setara)
Karangmalang,Assurance,-1.975,0.0483,Tolak H0 — lebih jarang dikeluhkan
Kedungmundu,Assurance,-2.551,0.0107,Tolak H0 — lebih jarang dikeluhkan
Krobokan,Assurance,-0.676,0.4988,Gagal tolak H0 (setara)
Lamper Tengah,Assurance,-1.852,0.064,Gagal tolak H0 (setara)
Lebdosari,Assurance,-0.46,0.6456,Gagal tolak H0 (setara)
Mangkang,Assurance,-0.511,0.6093,Gagal tolak H0 (setara)
Manyaran,Assurance,-0.103,0.9176,Gagal tolak H0 (setara)
Mijen,Assurance,-1.147,0.2514,Gagal tolak H0 (setara)
Miroto,Assurance,-0.464,0.6429,Gagal tolak H0 (setara)
Ngaliyan,Assurance,-0.044,0.9646,Gagal tolak H0 (setara)
Ngemplak Simongan,Assurance,-0.714,0.4752,Gagal tolak H0 (setara)
Ngesrep,Assurance,-1.094,0.2738,Gagal tolak H0 (setara)
Padangsari,Assurance,-0.177,0.8595,Gagal tolak H0 (setara)
Pandanaran,Assurance,-0.196,0.8448,Gagal tolak H0 (setara)
Pegandan,Assurance,-0.7,0.4838,Gagal tolak H0 (setara)
Poncol,Assurance,-0.676,0.4988,Gagal tolak H0 (setara)
Pudakpayung,Assurance,-0.073,0.9418,Gagal tolak H0 (setara)
Purwoyoso,Assurance,-0.152,0.8791,Gagal tolak H0 (setara)
Rowosari,Assurance,-2.95,0.0032,Tolak H0 — lebih jarang dikeluhkan
Sekaran,Assurance,-1.668,0.0953,Gagal tolak H0 (setara)
Srondol,Assurance,-1.014,0.3107,Gagal tolak H0 (setara)
Tambakaji,Assurance,0.272,0.786,Gagal tolak H0 (setara)
Telogosari Kulon,Assurance,-2.038,0.0415,Tolak H0 — lebih jarang dikeluhkan
Telogosari Wetan,Assurance,-1.246,0.2129,Gagal tolak H0 (setara)
Karanganyar,Assurance,0.464,0.6428,Gagal tolak H0 (setara)
Bambanglipuro,Empathy,1.166,0.2438,Gagal tolak H0 (setara)
Banguntapan 1,Empathy,-1.385,0.1662,Gagal tolak H0 (setara)
