term,z_score,n_neg,n_pos
giginya baik,2.74,1,42
padangsari,2.74,3,49
cepat sesuai,2.74,0,38
bidan dokternya,2.76,2,46
bagus pegawai,2.76,2,46
sarana prasarana,2.77,3,50
simolawang,2.77,3,50
penanganannya cepat,2.78,0,39
rizki,2.78,0,39
semoga dipertahankan,2.78,0,39
cepat menunggu,2.78,1,43
ramah mulai,2.79,5,57
tanah,2.79,11,75
terima kepada,2.81,0,40
sip,2.81,3,51
baik staf,2.81,0,40
mantappp,2.81,0,40
kader,2.81,8,67
jauh baik,2.81,7,64
recommended,2.81,9,70
cepat membantu,2.81,0,40
rujukan cepat,2.81,0,40
pegawainya baik,2.81,0,40
bugangan oke,2.81,0,40
cantik ramah,2.82,1,44
dokter bidan,2.82,21,103
fasilitas baik,2.83,4,55
perawatan gigi,2.83,4,55
lumayan cepat,2.83,2,48
bangunan,2.83,17,93
baik bidannya,2.85,0,41
berjalan,2.85,26,117
ramah petugas,2.85,21,104
menjelaskan baik,2.86,4,56
senyum,2.86,104,290
lokasi,2.87,53,181
penanganannya,2.87,21,105
kia cepat,2.88,0,42
semoga sehat,2.88,7,66
ramah sat,2.88,0,42
bersih pegawainya,2.88,0,42
ramah mudah,2.88,0,42
cepat mantap,2.88,0,42
membantu ramah,2.88,0,42
bagus nakesnya,2.88,0,42
gigi memuaskan,2.88,3,53
prasarana,2.88,3,53
salam sehat,2.89,5,60
dokter giginya,2.89,46,166
perawat dokter,2.9,21,106
bidan perawat,2.9,4,57
respon cepat,2.9,2,50
okee,2.9,4,57
ramah anak,2.91,11,79
berkunjung,2.91,11,79
super ramah,2.91,3,54
bagus bidannya,2.91,0,43
makin,2.91,98,280
cepatt,2.91,0,43
cantik cantik,2.91,0,43
penelitian,2.91,0,43
dalam menangani,2.91,6,64
ramah menyenangkan,2.92,5,61
ketabang,2.92,5,61
bambanglipuro,2.92,1,47
akupuntur,2.92,1,47
secara keseluruhan,2.93,4,58
menjelaskan detail,2.93,2,51
farmasi baik,2.93,4,58
cepat sat,2.95,0,44
memuaskan terimakasih,2.95,0,44
sabar ramah,2.95,1,48
baik perawat,2.95,5,62
gigi ramah,2.95,23,113
calon pengantin,2.96,4,59
ramah telaten,2.96,2,52
bagus semoga,2.96,2,52
pengurusan,2.97,11,81
balongsari,2.97,10,78
cepat staff,2.98,0,45
alhamdulillah bagus,2.98,3,56
alhamdulillah cepat,2.98,0,45
dokternya ramah2,2.98,3,56
dokter riska,2.98,0,45
nyaman petugasnya,2.99,1,49
tanggap ramah,2.99,1,49
matur,2.99,1,49
baik terutama,2.99,5,63
komplit,3.0,4,60
best pokoknya,3.01,0,46
pegawainya ramah2,3.01,0,46
playground,3.01,0,46
ramah tunggu,3.01,0,46
ramah mantap,3.01,0,46
dingin,3.01,13,88
lengkap bersih,3.01,0,46
set,3.02,127,346
nyaman bagus,3.02,1,50
obat cepat,3.03,2,54
baik fasilitas,3.04,3,58
senang berobat,3.05,0,47
medisnya ramah,3.05,1,51
ramah dalam,3.06,8,75
ruangannya,3.06,16,98
jetis,3.06,4,62
simongan,3.06,2,55
slalu,3.06,11,84
cpt,3.06,8,75
medis ramah,3.06,2,55
umum gigi,3.07,3,59
sabar dalam,3.07,3,59
rapih,3.08,5,66
terima cek,3.08,0,48
kesehatan gratisnya,3.08,0,48
ngemplak simongan,3.08,1,52
semoga tetap,3.08,0,48
cepat dalam,3.09,2,56
tanjungsari,3.1,14,94
pijat,3.11,1,53
helpful,3.11,1,53
cepat terimakasih,3.11,0,49
baik lagi,3.13,55,197
jelas mudah,3.14,0,50
semakin sukses,3.14,0,50
pengaktifan,3.15,2,58
pengantin,3.15,4,65
riska,3.15,1,54
semoga sukses,3.17,0,51
tenaga kesehatannya,3.17,5,69
seru,3.17,0,51
farmasi ramah,3.17,5,69
farmasi cepat,3.17,0,51
mudah dijangkau,3.17,0,51
uhc,3.17,16,102
sarana,3.18,8,79
perawat dokternya,3.18,10,85
dalam menjelaskan,3.18,1,55
purwoyoso,3.2,3,63
sadeng,3.21,0,52
gratisnya,3.21,0,52
pkl,3.21,14,98
penjelasan jelas,3.21,8,80
stafnya ramah,3.22,2,60
suasana,3.22,7,77
is the,3.22,2,60
krobokan,3.23,3,64
ngesrep,3.23,3,64
imogiri,3.23,5,71
baik tenaga,3.24,1,57
fasilitas cukup,3.24,1,57
membimbing,3.24,1,57
program,3.24,19,113
baik informatif,3.24,0,53
pengalaman,3.24,155,416
memuaskan dokter,3.25,6,75
tetap semangat,3.25,2,61
humble,3.25,2,61
memuaskan ramah,3.27,8,82
fasilitasnya lengkap,3.27,0,54
kia ramah,3.28,17,109
rowosari,3.28,6,76
lokasinya,3.29,3,66
edukatif,3.29,5,73
gigi dokternya,3.29,9,86
mudah cepat,3.3,1,59
dokternya sabar,3.3,1,59
ramah gercep,3.3,0,55
giginya ramah,3.3,4,70
membantu dalam,3.3,0,55
ramah dokternya,3.3,20,118
pendaftaran cepat,3.3,1,59
parkiran,3.32,23,127
baik pegawai,3.32,5,74
staffnya ramah,3.33,4,71
semoga makin,3.33,1,60
baik staff,3.33,0,56
rama,3.33,24,130
ngemplak,3.33,1,60
bagus bidan,3.33,0,56
baik bidan,3.35,3,68
dijangkau,3.36,1,61
konsultasi,3.36,81,267
kesehatannya ramah,3.36,0,57
luas nyaman,3.36,1,61
terdapat,3.36,4,72
gunungpati,3.36,4,72
bagus pegawainya,3.38,3,69
terima dokter,3.42,1,63
staffnya,3.42,19,120
farmasinya,3.42,23,131
lontar,3.42,2,67
pemeriksaan kesehatan,3.42,2,67
ramah penjelasan,3.42,2,67
proses pendaftaran,3.42,4,74
berkembang,3.43,3,71
perawat baik,3.44,0,60
ramah tanggap,3.44,0,60
yani,3.45,1,64
cukup bagus,3.47,8,89
cukup luas,3.47,0,61
lokasi strategis,3.47,0,61
terimakasih bidan,3.47,0,61
cek kesehatan,3.48,34,162
sabar telaten,3.48,2,69
fisioterapi,3.49,5,80
gratis,3.5,192,508
sekarang,3.5,223,570
kedepannya,3.51,87,288
ramah memberikan,3.51,2,70
memuaskan petugasnya,3.52,3,74
bersih luas,3.53,0,63
selalu memberikan,3.53,1,67
top markotop,3.53,0,63
memuaskan petugas,3.54,11,101
takal,3.54,6,85
karyawan ramah,3.55,5,82
pandanaran,3.55,8,92
cepat mudah,3.56,0,64
terjangkau,3.56,1,68
fasilitas memadai,3.57,3,76
taman,3.58,0,65
parkiran luas,3.58,0,65
cepat pegawai,3.58,0,65
masyaallah,3.58,7,90
catin,3.59,82,281
ngaliyan,3.59,14,112
ramah petugasnya,3.61,7,91
dalam memberikan,3.64,10,102
ramah sukses,3.64,0,67
fast respon,3.64,1,71
bidan baik,3.64,0,67
suka,3.64,95,313
persalinan,3.64,17,123
is,3.65,19,129
adem,3.65,5,86
sedayu,3.67,1,72
memudahkan,3.68,5,87
drg,3.69,13,113
markotop,3.69,0,69
cukup memuaskan,3.69,1,73
sewon,3.69,23,142
ramah sigap,3.69,0,69
benowo,3.7,9,101
edukasi,3.72,34,173
ramah menjelaskan,3.72,4,85
tingkatkan,3.74,81,287
gading,3.76,15,122
laboratorium,3.77,75,275
nyaman petugas,3.77,1,76
giginya,3.77,98,327
lebdosari,3.78,2,80
baik dalam,3.79,12,114
overall,3.79,11,111
baik pegawainya,3.8,2,81
jos,3.8,0,73
terjaga,3.82,4,89
dokternya,3.82,843,1757
rapi bersih,3.82,0,74
makasih,3.83,31,170
joss,3.83,2,82
melahirkan,3.84,25,154
tetap,3.86,154,454
perawatan,3.86,35,182
ilmu,3.86,16,129
dalam,3.86,480,1095
baik terima,3.87,9,108
sekaran,3.88,0,76
banguntapan,3.88,13,121
satset,3.88,13,121
lingkungannya bersih,3.88,0,76
stafnya,3.89,7,102
pusk,3.89,5,95
mudah dimengerti,3.9,0,77
memuaskan cepat,3.9,0,77
praktik,3.9,6,99
tenaga kesehatan,3.91,25,157
ac,3.91,18,137
perawatnya baik,3.93,2,86
semarang,3.93,32,177
aamiin,3.94,11,117
cepat pegawainya,3.95,0,79
mijen,3.96,11,118
kia bagus,3.97,4,95
penanganan cepat,3.97,4,95
petugas ramah2,3.98,0,80
kesehatan baik,4.01,5,100
tunggunya,4.01,5,100
semoga kedepannya,4.01,22,153
batra,4.01,5,100
tim,4.02,19,145
mulai pendaftaran,4.02,9,114
alhamdulilah,4.03,1,86
ckg,4.03,11,121
tlogosari kulon,4.04,10,118
pustu,4.04,7,108
memberikan penjelasan,4.04,7,108
bersih tertata,4.05,0,83
bersih petugasnya,4.05,0,83
luas bersih,4.05,1,87
mantapp,4.05,0,83
kesehatannya,4.07,15,135
baik semoga,4.07,12,126
cepat nyaman,4.08,1,88
sehat,4.08,264,696
bidannya baik,4.09,3,96
kegiatan,4.09,9,117
pemeriksaan,4.09,282,733
dokter baik,4.12,23,161
semakin bagus,4.12,1,90
ramah profesional,4.15,7,113
baik sabar,4.15,5,106
penjelasannya,4.16,14,136
baik membantu,4.17,1,92
ramah komunikatif,4.18,3,100
bermain anak,4.18,3,100
nyaman baik,4.22,0,90
ramah murah,4.22,0,90
ramah dokter,4.23,24,169
tersedia,4.24,17,149
ramai,4.25,24,170
bersih petugas,4.26,0,92
fast,4.27,1,96
memberikan terbaik,4.28,4,108
baik nyaman,4.29,2,101
miroto,4.29,2,101
nyaman cepat,4.29,0,93
dimengerti,4.29,2,101
kesehatan ramah,4.29,2,101
sidotopo wetan,4.3,13,139
cukup cepat,4.31,2,102
bantul,4.31,20,161
cukup lengkap,4.31,2,102
baik terimakasih,4.33,4,110
terimakasih dokter,4.33,1,99
kebersihan,4.35,21,166
cepat dokternya,4.38,1,101
gigi bagus,4.4,4,113
bersih bagus,4.42,0,99
mahasiswa,4.42,17,157
sejuk,4.45,0,100
responsif,4.45,13,146
ramah semoga,4.47,7,127
cepat bagus,4.51,1,107
baikk,4.51,4,118
sidotopo,4.52,18,165
nyaman ramah,4.53,1,108
bagus nyaman,4.55,4,120
tertib,4.55,14,154
tunggu nyaman,4.55,4,120
mantab,4.56,1,109
prima,4.58,9,139
kulon,4.58,23,183
baik baik,4.59,74,319
ramah terima,4.6,0,107
mulai,4.63,158,516
staf ramah,4.63,3,120
ramah fasilitas,4.63,3,120
bermain,4.64,13,155
lumayan,4.64,70,312
ramahh,4.68,10,147
rawat inap,4.7,38,232
ramah tamah,4.7,9,145
nakes,4.7,129,456
bagus baik,4.71,8,142
gizi,4.73,31,214
bersih baik,4.73,0,113
tamah,4.74,10,150
wetan,4.74,21,185
baik hati,4.75,2,122
bagus dokternya,4.75,2,122
teratur,4.75,11,154
inap,4.79,39,240
lingkungannya,4.79,1,120
dibantu,4.8,32,221
gigi baik,4.8,8,146
tertata rapi,4.8,3,128
pandak,4.81,5,136
telah,4.82,12,161
nakes ramah,4.85,0,119
asri,4.87,7,146
alhamdulillah baik,4.87,1,124
halmahera,4.87,2,128
semakin maju,4.89,2,129
tlogosari,4.9,16,178
kia baik,4.93,5,142
menyenangkan,4.94,71,333
job,4.96,4,140
good job,4.97,2,133
perawat ramah,5.07,5,149
bagus memuaskan,5.07,0,130
bersih cepat,5.11,0,132
baguss,5.12,5,152
bugangan,5.15,1,138
rawat,5.17,59,316
cepat memuaskan,5.2,0,137
petugas baik,5.23,9,172
nakesnya ramah,5.23,3,150
bagus dokter,5.23,12,182
bermanfaat,5.26,5,159
ramah cekatan,5.26,1,144
ramah sopan,5.28,21,214
baik bagus,5.3,6,165
ramah memuaskan,5.31,4,158
dokter perawatnya,5.32,12,187
terbantu,5.32,2,151
bersih ramah,5.32,1,147
tepat,5.36,80,383
menjelaskan,5.36,109,455
parkir luas,5.36,2,153
semoga selalu,5.39,2,155
baik dokternya,5.4,4,163
proses,5.4,72,365
cepat tepat,5.43,2,157
jaya,5.46,12,195
mudah dipahami,5.46,1,155
ok,5.46,52,315
murah senyum,5.47,4,167
ramah terimakasih,5.47,3,163
bidan ramah,5.47,6,174
memadai,5.53,26,244
petugasnya baik,5.54,3,167
ramah lingkungan,5.55,0,156
cepat dokter,5.56,3,168
gigi,5.71,1046,2385
bidannya ramah,5.75,9,201
dipahami,5.75,2,175
trimakasih,5.78,17,230
ramah bagus,5.81,1,175
tenaga,5.84,122,522
kedungmundu,5.85,7,200
luar biasa,5.88,25,262
petugasnya ramah2,5.9,0,176
staff ramah,5.95,7,206
perawatnya ramah,5.97,3,192
ramah²,5.97,7,207
detail,6.01,59,371
cepat bersih,6.02,1,187
strategis,6.02,1,187
staff,6.02,114,516
srondol,6.03,6,207
sehat selalu,6.03,11,225
baik bersih,6.08,1,191
komunikatif,6.1,29,289
perawat,6.12,273,894
murah,6.13,29,291
tertata,6.14,16,249
ramah nyaman,6.16,3,204
dipertahankan,6.18,3,205
sat set,6.18,42,334
fasilitas lengkap,6.2,3,206
sat,6.24,43,341
semoga semakin,6.26,4,214
dokter perawat,6.27,31,306
telaten,6.29,19,269
ramah informatif,6.29,10,238
nakesnya,6.31,29,303
penjelasan,6.31,96,492
fasilitasnya,6.35,10,242
perawatnya,6.37,87,473
ramah sabar,6.38,12,251
cukup baik,6.39,11,248
bagus petugas,6.5,6,237
gercep,6.54,27,312
sigap,6.56,15,273
lancar,6.56,17,280
bagus bersih,6.57,7,245
baik dokter,6.59,19,289
keren,6.6,4,236
staf,6.6,49,384
dokter ramah,6.61,52,393
cantik,6.67,16,284
bersih rapi,6.74,2,238
cepet,6.74,61,429
dokternya baik,6.75,13,279
semakin baik,6.77,9,266
bagus petugasnya,6.91,4,257
bidannya,6.94,91,528
senang,6.95,9,279
nyaman bersih,6.96,2,253
ramah membantu,7.01,3,260
cepat baik,7.02,1,253
cepat petugasnya,7.07,0,253
memberikan,7.16,188,795
maju,7.17,46,417
pegawai ramah,7.19,22,342
baik memuaskan,7.2,1,266
semangat,7.28,14,321
the best,7.28,3,280
the,7.29,53,448
pegawainya,7.33,141,693
lingkungan bersih,7.4,0,277
good,7.57,13,339
pertahankan,7.59,9,326
cekatan,7.7,25,391
pokoknya,8.05,34,450
top,8.06,3,340
baik petugasnya,8.12,4,349
petugas,8.33,1467,3616
kesehatan,8.35,475,1588
cepat petugas,8.49,0,364
best,8.55,5,389
lingkungan,8.79,7,418
sukses selalu,8.85,1,400
cepat tanggap,8.86,6,420
pegawainya ramah,8.9,12,447
bidan,9.09,308,1293
baik petugas,9.26,19,505
oke,9.35,113,812
informatif,9.64,68,707
dokternya ramah,9.87,52,679
ramah bersih,10.03,1,512
puas,10.09,59,724
rapi,10.25,19,603
fasilitas,10.37,129,970
tanggap,10.37,27,645
bagus cepat,10.38,3,556
bagus ramah,10.79,15,646
cukup,10.84,177,1162
bersih nyaman,11.21,4,650
semoga,11.49,347,1701
mantap,11.49,9,702
semakin,11.55,75,941
sabar,11.59,116,1075
terbaik,11.69,25,786
ramah2,11.9,25,810
lengkap,12.13,67,986
luas,12.3,14,818
selalu,12.37,293,1684
mudah,12.61,24,895
baik cepat,12.65,3,819
sukses,13.15,4,889
cepat ramah,13.6,6,957
ramah baik,13.67,21,1024
terima,13.69,199,1611
membantu,15.1,76,1430
alhamdulillah,15.14,38,1301
ramah cepat,15.34,9,1221
ramah ramah,15.66,23,1325
petugas ramah,15.68,75,1518
petugasnya,15.97,330,2362
terimakasih,16.22,172,1928
petugasnya ramah,16.5,24,1465
memuaskan,17.72,317,2642
baik ramah,18.8,63,2018
nyaman,21.38,168,2908
bersih,27.95,62,4138
bagus,32.49,418,6740
cepat,38.21,211,7987
baik,43.03,1405,13729
ramah,49.55,1940,18214
