id_puskesmas,puskesmas,wilayah,dimensi,n_ulasan,n_keluhan,komposisi_%,intensitas,intensitas_CI95,intensitas_shrunk,skor_1_5,kepercayaan,cukup_dinilai
PKM_SBY_034,Gading,Surabaya,Empathy,142,69,29.2,0.486,"[0.41, 0.57]",0.489,2.8,Cukup banyak data,True
PKM_SBY_035,Gundih,Surabaya,Empathy,68,43,36.8,0.632,"[0.51, 0.74]",0.61,4.5,Cukup banyak data,True
PKM_SBY_036,Jeruk,Surabaya,Empathy,49,32,36.0,0.653,"[0.51, 0.77]",0.619,4.59,Cukup banyak data,True
PKM_SBY_037,Kalirungkut,Surabaya,Empathy,109,40,21.2,0.367,"[0.28, 0.46]",0.387,1.38,Cukup banyak data,True
PKM_SBY_038,Kedungdoro,Surabaya,Empathy,73,44,31.4,0.603,"[0.49, 0.71]",0.587,4.15,Cukup banyak data,True
PKM_SBY_039,Kenjeran,Surabaya,Empathy,92,60,38.2,0.652,"[0.55, 0.74]",0.632,4.69,Cukup banyak data,True
PKM_SBY_040,Ketabang,Surabaya,Empathy,43,30,41.1,0.698,"[0.55, 0.81]",0.648,4.81,Cukup banyak data,True
PKM_SBY_041,Krembangan Selatan,Surabaya,Empathy,94,49,30.2,0.521,"[0.42, 0.62]",0.521,3.2,Cukup banyak data,True
PKM_SBY_042,Lidah Kulon,Surabaya,Empathy,33,19,33.9,0.576,"[0.41, 0.73]",0.556,3.71,Cukup banyak data,True
PKM_SBY_043,Lontar,Surabaya,Empathy,70,50,38.8,0.714,"[0.60, 0.81]",0.677,4.91,Cukup banyak data,True
PKM_SBY_044,Manukan Kulon,Surabaya,Empathy,113,57,27.1,0.504,"[0.41, 0.59]",0.506,2.98,Cukup banyak data,True
PKM_SBY_045,Medokan Ayu,Surabaya,Empathy,211,90,24.4,0.427,"[0.36, 0.49]",0.433,1.79,Cukup banyak data,True
PKM_SBY_046,Mojo,Surabaya,Empathy,162,100,34.8,0.617,"[0.54, 0.69]",0.608,4.46,Cukup banyak data,True
PKM_SBY_047,Pacar Keling,Surabaya,Empathy,117,51,25.4,0.436,"[0.35, 0.53]",0.446,1.91,Cukup banyak data,True
PKM_SBY_048,Pegirian,Surabaya,Empathy,36,21,33.3,0.583,"[0.42, 0.73]",0.563,3.83,Cukup banyak data,True
PKM_SBY_049,Peneleh,Surabaya,Empathy,72,34,28.8,0.472,"[0.36, 0.59]",0.481,2.57,Cukup banyak data,True
PKM_SBY_050,Perak Timur,Surabaya,Empathy,87,47,33.6,0.54,"[0.44, 0.64]",0.537,3.46,Cukup banyak data,True
PKM_SBY_051,Pucangsewu,Surabaya,Empathy,78,37,25.5,0.474,"[0.37, 0.58]",0.482,2.61,Cukup banyak data,True
