id_puskesmas,puskesmas,wilayah,dimensi,n_ulasan,n_keluhan,komposisi_%,intensitas,intensitas_CI95,intensitas_shrunk,skor_1_5,kepercayaan,cukup_dinilai
PKM_SBY_054,Sidotopo,Surabaya,Tangibles,62,1,1.0,0.016,"[0.00, 0.09]",0.033,1.31,Cukup banyak data,True
PKM_SBY_055,Sidotopo Wetan,Surabaya,Tangibles,118,10,5.4,0.085,"[0.05, 0.15]",0.077,4.34,Cukup banyak data,True
PKM_SBY_056,Simolawang,Surabaya,Tangibles,36,2,3.0,0.056,"[0.02, 0.18]",0.056,3.14,Cukup banyak data,True
PKM_SBY_057,Simomulyo,Surabaya,Tangibles,115,4,2.0,0.035,"[0.01, 0.09]",0.041,1.79,Cukup banyak data,True
PKM_SBY_058,Tambakrejo,Surabaya,Tangibles,84,2,1.4,0.024,"[0.01, 0.08]",0.035,1.41,Cukup banyak data,True
PKM_SBY_059,Tanah Kali Kedinding,Surabaya,Tangibles,110,7,3.7,0.064,"[0.03, 0.13]",0.062,3.58,Cukup banyak data,True
PKM_SBY_060,Tanjungsari,Surabaya,Tangibles,68,3,2.4,0.044,"[0.02, 0.12]",0.049,2.45,Cukup banyak data,True
PKM_SBY_061,Tembok Dukuh,Surabaya,Tangibles,114,6,3.0,0.053,"[0.02, 0.11]",0.054,2.98,Cukup banyak data,True
PKM_SBY_062,Tenggilis,Surabaya,Tangibles,86,3,1.9,0.035,"[0.01, 0.10]",0.042,1.91,Cukup banyak data,True
PKM_SBY_063,Wonokusumo,Surabaya,Tangibles,100,0,0.0,0.0,"[0.00, 0.04]",0.017,1.03,Cukup banyak data,True
PKM_SMG_001,Bandarharjo,Semarang,Tangibles,33,0,0.0,0.0,"[0.00, 0.10]",0.032,1.22,Cukup banyak data,True
PKM_SMG_002,Bangetayu,Semarang,Tangibles,88,6,5.4,0.068,"[0.03, 0.14]",0.065,3.77,Cukup banyak data,True
PKM_SMG_003,Bugangan,Semarang,Tangibles,11,1,9.1,0.091,"[0.02, 0.38]",0.064,3.71,Datanya sedang,True
PKM_SMG_004,Bulu Lor,Semarang,Tangibles,33,0,0.0,0.0,"[0.00, 0.10]",0.032,1.22,Cukup banyak data,True
PKM_SMG_005,Candilama,Semarang,Tangibles,71,5,6.2,0.07,"[0.03, 0.15]",0.065,3.77,Cukup banyak data,True
PKM_SMG_006,Gayamsari,Semarang,Tangibles,52,3,5.1,0.058,"[0.02, 0.16]",0.057,3.33,Cukup banyak data,True
PKM_SMG_007,Genuk,Semarang,Tangibles,28,4,11.4,0.143,"[0.06, 0.31]",0.091,4.72,Datanya sedang,True
PKM_SMG_008,Gunungpati,Semarang,Tangibles,54,3,4.7,0.056,"[0.02, 0.15]",0.056,3.14,Cukup banyak data,True
PKM_SMG_009,Halmahera,Semarang,Tangibles,44,5,8.8,0.114,"[0.05, 0.24]",0.086,4.59,Cukup banyak data,True
PKM_SMG_010,Kagok,Semarang,Tangibles,51,2,3.1,0.039,"[0.01, 0.13]",0.047,2.23,Cukup banyak data,True
PKM_SMG_011,Karangayu,Semarang,Tangibles,68,1,1.1,0.015,"[0.00, 0.08]",0.031,1.19,Cukup banyak data,True
PKM_SMG_012,Karangdoro,Semarang,Tangibles,47,4,7.0,0.085,"[0.03, 0.20]",0.072,4.09,Cukup banyak data,True
PKM_SMG_013,Karangmalang,Semarang,Tangibles,25,1,3.7,0.04,"[0.01, 0.20]",0.051,2.67,Datanya sedang,True
PKM_SMG_014,Kedungmundu,Semarang,Tangibles,89,4,3.7,0.045,"[0.02, 0.11]",0.049,2.45,Cukup banyak data,True
PKM_SMG_015,Krobokan,Semarang,Tangibles,39,2,4.7,0.051,"[0.01, 0.17]",0.054,2.98,Cukup banyak data,True
PKM_SMG_016,Lamper Tengah,Semarang,Tangibles,23,0,0.0,0.0,"[0.00, 0.14]",0.037,1.5,Datanya sedang,True
PKM_SMG_017,Lebdosari,Semarang,Tangibles,47,4,6.7,0.085,"[0.03, 0.20]",0.072,4.09,Cukup banyak data,True
PKM_SMG_018,Mangkang,Semarang,Tangibles,8,2,18.2,0.25,"[0.07, 0.59]",0.088,4.65,Data terbatas,False
PKM_SMG_019,Manyaran,Semarang,Tangibles,42,1,2.1,0.024,"[0.00, 0.12]",0.04,1.76,Cukup banyak data,True
PKM_SMG_020,Mijen,Semarang,Tangibles,76,4,4.3,0.053,"[0.02, 0.13]",0.054,2.98,Cukup banyak data,True
PKM_SMG_021,Miroto,Semarang,Tangibles,25,1,3.7,0.04,"[0.01, 0.20]",0.051,2.67,Datanya sedang,True
PKM_SMG_022,Ngaliyan,Semarang,Tangibles,77,7,6.9,0.091,"[0.04, 0.18]",0.079,4.46,Cukup banyak data,True
PKM_SMG_023,Ngemplak Simongan,Semarang,Tangibles,22,1,3.7,0.045,"[0.01, 0.22]",0.053,2.86,Datanya sedang,True
PKM_SMG_024,Ngesrep,Semarang,Tangibles,33,1,3.0,0.03,"[0.01, 0.15]",0.045,2.1,Cukup banyak data,True
PKM_SMG_025,Padangsari,Semarang,Tangibles,22,1,3.8,0.045,"[0.01, 0.22]",0.053,2.86,Datanya sedang,True
PKM_SMG_026,Pandanaran,Semarang,Tangibles,38,4,8.2,0.105,"[0.04, 0.24]",0.08,4.5,Cukup banyak data,True
PKM_SMG_027,Pegandan,Semarang,Tangibles,2,0,0.0,0.0,"[0.00, 0.66]",0.054,2.98,Data terbatas,False
PKM_SMG_028,Poncol,Semarang,Tangibles,39,2,4.3,0.051,"[0.01, 0.17]",0.054,2.98,Cukup banyak data,True
PKM_SMG_029,Pudakpayung,Semarang,Tangibles,21,0,0.0,0.0,"[0.00, 0.15]",0.038,1.6,Datanya sedang,True
PKM_SMG_030,Purwoyoso,Semarang,Tangibles,27,1,2.9,0.037,"[0.01, 0.18]",0.049,2.45,Datanya sedang,True
PKM_SMG_031,Rowosari,Semarang,Tangibles,62,5,6.6,0.081,"[0.03, 0.18]",0.071,4.06,Cukup banyak data,True
PKM_SMG_032,Sekaran,Semarang,Tangibles,62,2,2.8,0.032,"[0.01, 0.11]",0.042,1.91,Cukup banyak data,True
PKM_SMG_033,Srondol,Semarang,Tangibles,38,6,12.5,0.158,"[0.07, 0.30]",0.105,4.87,Cukup banyak data,True
PKM_SMG_034,Tambakaji,Semarang,Tangibles,18,4,17.4,0.222,"[0.09, 0.45]",0.106,4.91,Datanya sedang,True
PKM_SMG_035,Telogosari Kulon,Semarang,Tangibles,96,6,4.7,0.062,"[0.03, 0.13]",0.061,3.52,Cukup banyak data,True
PKM_SMG_036,Telogosari Wetan,Semarang,Tangibles,54,1,1.6,0.019,"[0.00, 0.10]",0.035,1.41,Cukup banyak data,True
PKM_SMG_037,Karanganyar,Semarang,Tangibles,12,0,0.0,0.0,"[0.00, 0.24]",0.044,1.98,Datanya sedang,True
