id_puskesmas,dimensi,z,p_value,vs_peer,n_peer
PKM_SBY_061,Assurance,1.083,0.279,setara,8153
PKM_SBY_062,Assurance,1.384,0.1665,setara,8181
PKM_SBY_063,Assurance,-1.184,0.2362,setara,8167
PKM_SMG_001,Assurance,-0.217,0.8282,setara,8234
PKM_SMG_002,Assurance,-1.164,0.2443,setara,8179
PKM_SMG_003,Assurance,-0.884,0.3767,setara,8256
PKM_SMG_004,Assurance,-0.217,0.8282,setara,8234
PKM_SMG_005,Assurance,-1.491,0.136,setara,8196
PKM_SMG_006,Assurance,-0.432,0.6659,setara,8215
PKM_SMG_007,Assurance,-0.719,0.472,setara,8239
PKM_SMG_008,Assurance,-0.216,0.8294,setara,8213
PKM_SMG_009,Assurance,-1.391,0.1641,setara,8223
PKM_SMG_010,Assurance,-2.133,0.0329,lebih jarang dikeluhkan,8216
PKM_SMG_011,Assurance,2.027,0.0427,lebih sering dikeluhkan,8199
PKM_SMG_012,Assurance,-0.46,0.6456,setara,8220
PKM_SMG_013,Assurance,-1.975,0.0483,lebih jarang dikeluhkan,8242
PKM_SMG_014,Assurance,-2.551,0.0107,lebih jarang dikeluhkan,8178
PKM_SMG_015,Assurance,-0.676,0.4988,setara,8228
PKM_SMG_016,Assurance,-1.852,0.064,setara,8244
PKM_SMG_017,Assurance,-0.46,0.6456,setara,8220
PKM_SMG_018,Assurance,-0.511,0.6093,setara,8259
PKM_SMG_019,Assurance,-0.103,0.9176,setara,8225
PKM_SMG_020,Assurance,-1.147,0.2514,setara,8191
PKM_SMG_021,Assurance,-0.464,0.6429,setara,8242
PKM_SMG_022,Assurance,-0.044,0.9646,setara,8190
PKM_SMG_023,Assurance,-0.714,0.4752,setara,8245
PKM_SMG_024,Assurance,-1.094,0.2738,setara,8234
PKM_SMG_025,Assurance,-0.177,0.8595,setara,8245
PKM_SMG_026,Assurance,-0.196,0.8448,setara,8229
PKM_SMG_027,Assurance,-0.7,0.4838,setara,8265
PKM_SMG_028,Assurance,-0.676,0.4988,setara,8228
PKM_SMG_029,Assurance,-0.073,0.9418,setara,8246
PKM_SMG_030,Assurance,-0.152,0.8791,setara,8240
PKM_SMG_031,Assurance,-2.95,0.0032,lebih jarang dikeluhkan,8205
PKM_SMG_032,Assurance,-1.668,0.0953,setara,8205
PKM_SMG_033,Assurance,-1.014,0.3107,setara,8229
PKM_SMG_034,Assurance,0.272,0.786,setara,8249
PKM_SMG_035,Assurance,-2.038,0.0415,lebih jarang dikeluhkan,8171
PKM_SMG_036,Assurance,-1.246,0.2129,setara,8213
PKM_SMG_037,Assurance,0.464,0.6428,setara,8255
PKM_BTL_001,Empathy,1.166,0.2438,setara,8240
PKM_BTL_002,Empathy,-1.385,0.1662,setara,8198
PKM_BTL_003,Empathy,-1.083,0.2789,setara,8178
PKM_BTL_004,Empathy,1.9,0.0575,setara,8199
PKM_BTL_005,Empathy,2.303,0.0213,lebih sering dikeluhkan,8217
PKM_BTL_006,Empathy,0.669,0.5038,setara,8234
PKM_BTL_007,Empathy,0.535,0.5929,setara,8248
PKM_BTL_008,Empathy,-1.108,0.268,setara,8258
PKM_BTL_009,Empathy,-0.583,0.5598,setara,8243
PKM_BTL_010,Empathy,-0.567,0.5708,setara,8239
PKM_BTL_011,Empathy,-1.098,0.2722,setara,8236
PKM_BTL_012,Empathy,-1.279,0.2008,setara,8255
PKM_BTL_013,Empathy,1.723,0.085,setara,8119
PKM_BTL_014,Empathy,-0.766,0.4439,setara,8183
PKM_BTL_015,Empathy,-2.147,0.0318,lebih jarang dikeluhkan,8241
PKM_BTL_016,Empathy,0.342,0.7321,setara,8236
PKM_BTL_017,Empathy,-0.728,0.4668,setara,8234
PKM_BTL_018,Empathy,0.794,0.4273,setara,8249
PKM_BTL_019,Empathy,-0.859,0.3902,setara,8227
PKM_BTL_020,Empathy,-0.39,0.6964,setara,8220
PKM_BTL_021,Empathy,-0.005,0.9959,setara,8238
PKM_BTL_022,Empathy,2.128,0.0333,lebih sering dikeluhkan,8244
PKM_BTL_023,Empathy,-0.946,0.3443,setara,8239
PKM_BTL_024,Empathy,-1.754,0.0795,setara,8241
PKM_BTL_025,Empathy,-0.572,0.5675,setara,8151
PKM_BTL_026,Empathy,0.102,0.9188,setara,8156
PKM_BTL_027,Empathy,0.359,0.7197,setara,8251
PKM_SBY_001,Empathy,-0.946,0.3443,setara,8239
PKM_SBY_002,Empathy,-0.946,0.3443,setara,8239
PKM_SBY_003,Empathy,0.103,0.9178,setara,8181
PKM_SBY_004,Empathy,-0.042,0.9665,setara,8201
