id_puskesmas,dimensi,z,p_value,vs_peer,n_peer
PKM_SBY_016,Responsiveness,3.002,0.0027,lebih sering dikeluhkan,8152
PKM_SBY_017,Responsiveness,0.968,0.333,setara,8167
PKM_SBY_018,Responsiveness,-2.015,0.0439,lebih jarang dikeluhkan,8194
PKM_SBY_019,Responsiveness,-0.535,0.5929,setara,8179
PKM_SBY_020,Responsiveness,2.12,0.034,lebih sering dikeluhkan,8201
PKM_SBY_021,Responsiveness,-1.953,0.0508,setara,8189
PKM_SBY_022,Responsiveness,0.5,0.617,setara,8238
PKM_SBY_023,Responsiveness,-1.638,0.1015,setara,8190
PKM_SBY_024,Responsiveness,-0.821,0.4115,setara,8266
PKM_SBY_025,Responsiveness,-1.509,0.1314,setara,8186
PKM_SBY_026,Responsiveness,2.001,0.0454,lebih sering dikeluhkan,8215
PKM_SBY_027,Responsiveness,-2.734,0.0063,lebih jarang dikeluhkan,8158
PKM_SBY_028,Responsiveness,1.351,0.1767,setara,8185
PKM_SBY_029,Responsiveness,2.333,0.0196,lebih sering dikeluhkan,8207
PKM_SBY_030,Responsiveness,0.392,0.6954,setara,8182
PKM_SBY_031,Responsiveness,-0.762,0.4458,setara,8221
PKM_SBY_032,Responsiveness,-5.323,0.0,lebih jarang dikeluhkan,8133
PKM_SBY_033,Responsiveness,0.626,0.5314,setara,8213
PKM_SBY_034,Responsiveness,0.138,0.89,setara,8125
PKM_SBY_035,Responsiveness,-0.842,0.3999,setara,8199
PKM_SBY_036,Responsiveness,0.661,0.5086,setara,8218
PKM_SBY_037,Responsiveness,4.737,0.0,lebih sering dikeluhkan,8158
PKM_SBY_038,Responsiveness,2.3,0.0215,lebih sering dikeluhkan,8194
PKM_SBY_039,Responsiveness,1.27,0.204,setara,8175
PKM_SBY_040,Responsiveness,-2.906,0.0037,lebih jarang dikeluhkan,8224
PKM_SBY_041,Responsiveness,3.413,0.0006,lebih sering dikeluhkan,8173
PKM_SBY_042,Responsiveness,-0.815,0.4149,setara,8234
PKM_SBY_043,Responsiveness,0.931,0.3519,setara,8197
PKM_SBY_044,Responsiveness,3.57,0.0004,lebih sering dikeluhkan,8154
PKM_SBY_045,Responsiveness,4.409,0.0,lebih sering dikeluhkan,8056
PKM_SBY_046,Responsiveness,2.709,0.0067,lebih sering dikeluhkan,8105
PKM_SBY_047,Responsiveness,1.115,0.265,setara,8150
PKM_SBY_048,Responsiveness,-1.192,0.2331,setara,8231
PKM_SBY_049,Responsiveness,2.172,0.0299,lebih sering dikeluhkan,8195
PKM_SBY_050,Responsiveness,-0.449,0.6533,setara,8180
PKM_SBY_051,Responsiveness,3.846,0.0001,lebih sering dikeluhkan,8189
PKM_SBY_052,Responsiveness,3.387,0.0007,lebih sering dikeluhkan,8185
PKM_SBY_053,Responsiveness,1.43,0.1527,setara,8140
PKM_SBY_054,Responsiveness,3.126,0.0018,lebih sering dikeluhkan,8205
PKM_SBY_055,Responsiveness,-2.18,0.0293,lebih jarang dikeluhkan,8149
PKM_SBY_056,Responsiveness,2.213,0.0269,lebih sering dikeluhkan,8231
PKM_SBY_057,Responsiveness,1.661,0.0966,setara,8152
PKM_SBY_058,Responsiveness,0.931,0.3518,setara,8183
PKM_SBY_059,Responsiveness,1.31,0.1904,setara,8157
PKM_SBY_060,Responsiveness,0.4,0.6895,setara,8199
PKM_SBY_061,Responsiveness,-0.754,0.451,setara,8153
PKM_SBY_062,Responsiveness,2.731,0.0063,lebih sering dikeluhkan,8181
PKM_SBY_063,Responsiveness,-0.263,0.7928,setara,8167
PKM_SMG_001,Responsiveness,-1.527,0.1269,setara,8234
PKM_SMG_002,Responsiveness,-2.72,0.0065,lebih jarang dikeluhkan,8179
PKM_SMG_003,Responsiveness,-1.495,0.1348,setara,8256
PKM_SMG_004,Responsiveness,-1.882,0.0598,setara,8234
PKM_SMG_005,Responsiveness,-5.492,0.0,lebih jarang dikeluhkan,8196
PKM_SMG_006,Responsiveness,-3.105,0.0019,lebih jarang dikeluhkan,8215
PKM_SMG_007,Responsiveness,-2.809,0.005,lebih jarang dikeluhkan,8239
PKM_SMG_008,Responsiveness,-0.766,0.4437,setara,8213
PKM_SMG_009,Responsiveness,0.085,0.9321,setara,8223
PKM_SMG_010,Responsiveness,-0.156,0.8764,setara,8216
PKM_SMG_011,Responsiveness,-6.056,0.0,lebih jarang dikeluhkan,8199
PKM_SMG_012,Responsiveness,-4.752,0.0,lebih jarang dikeluhkan,8220
PKM_SMG_013,Responsiveness,-2.887,0.0039,lebih jarang dikeluhkan,8242
PKM_SMG_014,Responsiveness,1.554,0.1203,setara,8178
PKM_SMG_015,Responsiveness,-3.832,0.0001,lebih jarang dikeluhkan,8228
PKM_SMG_016,Responsiveness,-1.39,0.1646,setara,8244
PKM_SMG_017,Responsiveness,-1.471,0.1413,setara,8220
PKM_SMG_018,Responsiveness,-0.882,0.378,setara,8259
PKM_SMG_019,Responsiveness,-3.128,0.0018,lebih jarang dikeluhkan,8225
PKM_SMG_020,Responsiveness,-3.668,0.0002,lebih jarang dikeluhkan,8191
PKM_SMG_021,Responsiveness,-2.479,0.0132,lebih jarang dikeluhkan,8242
PKM_SMG_022,Responsiveness,-3.505,0.0005,lebih jarang dikeluhkan,8190
PKM_SMG_023,Responsiveness,2.672,0.0075,lebih sering dikeluhkan,8245
PKM_SMG_024,Responsiveness,-4.016,0.0001,lebih jarang dikeluhkan,8234
PKM_SMG_025,Responsiveness,-1.246,0.2129,setara,8245
PKM_SMG_026,Responsiveness,-3.748,0.0002,lebih jarang dikeluhkan,8229
PKM_SMG_027,Responsiveness,1.722,0.085,setara,8265
PKM_SMG_028,Responsiveness,-2.523,0.0116,lebih jarang dikeluhkan,8228
PKM_SMG_029,Responsiveness,-0.65,0.5157,setara,8246
PKM_SMG_030,Responsiveness,-1.13,0.2584,setara,8240
PKM_SMG_031,Responsiveness,0.527,0.5985,setara,8205
PKM_SMG_032,Responsiveness,-0.773,0.4395,setara,8205
PKM_SMG_033,Responsiveness,-3.085,0.002,lebih jarang dikeluhkan,8229
PKM_SMG_034,Responsiveness,-2.526,0.0115,lebih jarang dikeluhkan,8249
PKM_SMG_035,Responsiveness,-2.443,0.0146,lebih jarang dikeluhkan,8171
PKM_SMG_036,Responsiveness,-4.385,0.0,lebih jarang dikeluhkan,8213
PKM_SMG_037,Responsiveness,-1.08,0.2801,setara,8255
PKM_BTL_001,Tangibles,0.384,0.701,setara,8240
PKM_BTL_002,Tangibles,1.079,0.2806,setara,8198
PKM_BTL_003,Tangibles,2.266,0.0234,lebih sering dikeluhkan,8178
PKM_BTL_004,Tangibles,-0.459,0.6461,setara,8199
PKM_BTL_005,Tangibles,-1.131,0.2579,setara,8217
PKM_BTL_006,Tangibles,0.843,0.3994,setara,8234
PKM_BTL_007,Tangibles,-1.073,0.2834,setara,8248
PKM_BTL_008,Tangibles,-0.738,0.4606,setara,8258
PKM_BTL_009,Tangibles,0.558,0.5769,setara,8243
PKM_BTL_010,Tangibles,1.147,0.2513,setara,8239
PKM_BTL_011,Tangibles,-0.595,0.552,setara,8236
PKM_BTL_012,Tangibles,0.394,0.6934,setara,8255
PKM_BTL_013,Tangibles,0.561,0.5747,setara,8119
PKM_BTL_014,Tangibles,1.521,0.1283,setara,8183
PKM_BTL_015,Tangibles,3.829,0.0001,lebih sering dikeluhkan,8241
PKM_BTL_016,Tangibles,0.182,0.856,setara,8236
PKM_BTL_017,Tangibles,0.09,0.9281,setara,8234
PKM_BTL_018,Tangibles,-0.026,0.9793,setara,8249
PKM_BTL_019,Tangibles,-0.875,0.3818,setara,8227
PKM_BTL_020,Tangibles,2.097,0.036,lebih sering dikeluhkan,8220
PKM_BTL_021,Tangibles,-1.326,0.1848,setara,8238
PKM_BTL_022,Tangibles,0.621,0.5345,setara,8244
PKM_BTL_023,Tangibles,1.964,0.0495,lebih sering dikeluhkan,8239
PKM_BTL_024,Tangibles,-1.255,0.2094,setara,8241
PKM_BTL_025,Tangibles,-0.649,0.5163,setara,8151
PKM_BTL_026,Tangibles,0.691,0.4896,setara,8156
PKM_BTL_027,Tangibles,-0.984,0.325,setara,8251
PKM_SBY_001,Tangibles,-0.486,0.6269,setara,8239
PKM_SBY_002,Tangibles,1.147,0.2513,setara,8239
PKM_SBY_003,Tangibles,0.047,0.9626,setara,8181
PKM_SBY_004,Tangibles,4.393,0.0,lebih sering dikeluhkan,8201
PKM_SBY_005,Tangibles,-1.556,0.1198,setara,8121
PKM_SBY_006,Tangibles,-0.787,0.4313,setara,8144
PKM_SBY_007,Tangibles,-0.328,0.7426,setara,8110
PKM_SBY_008,Tangibles,-0.437,0.6623,setara,8123
PKM_SBY_009,Tangibles,-0.637,0.5241,setara,8192
PKM_SBY_010,Tangibles,-2.05,0.0403,lebih jarang dikeluhkan,8198
PKM_SBY_011,Tangibles,0.304,0.7615,setara,8157
PKM_SBY_012,Tangibles,-1.433,0.152,setara,8203
PKM_SBY_013,Tangibles,2.679,0.0074,lebih sering dikeluhkan,8118
PKM_SBY_014,Tangibles,-1.052,0.293,setara,8196
PKM_SBY_015,Tangibles,-0.742,0.4584,setara,8209
PKM_SBY_016,Tangibles,0.182,0.856,setara,8152
PKM_SBY_017,Tangibles,0.999,0.3176,setara,8167
PKM_SBY_018,Tangibles,-0.588,0.5566,setara,8194
PKM_SBY_019,Tangibles,-0.469,0.6393,setara,8179
PKM_SBY_020,Tangibles,-0.939,0.348,setara,8201
PKM_SBY_021,Tangibles,-0.218,0.8275,setara,8189
PKM_SBY_022,Tangibles,-0.523,0.6007,setara,8238
PKM_SBY_023,Tangibles,1.785,0.0743,setara,8190
PKM_SBY_024,Tangibles,-0.246,0.8058,setara,8266
PKM_SBY_025,Tangibles,-0.778,0.4366,setara,8186
PKM_SBY_026,Tangibles,0.623,0.5335,setara,8215
PKM_SBY_027,Tangibles,-2.583,0.0098,lebih jarang dikeluhkan,8158
PKM_SBY_028,Tangibles,-0.322,0.7477,setara,8185
PKM_SBY_029,Tangibles,-0.234,0.8151,setara,8207
PKM_SBY_030,Tangibles,-0.396,0.6918,setara,8182
PKM_SBY_031,Tangibles,-1.672,0.0946,setara,8221
PKM_SBY_032,Tangibles,0.513,0.6079,setara,8133
PKM_SBY_033,Tangibles,-0.634,0.526,setara,8213
PKM_SBY_034,Tangibles,2.158,0.0309,lebih sering dikeluhkan,8125
PKM_SBY_035,Tangibles,1.117,0.2641,setara,8199
PKM_SBY_036,Tangibles,-1.108,0.2681,setara,8218
PKM_SBY_037,Tangibles,0.745,0.4565,setara,8158
PKM_SBY_038,Tangibles,-0.081,0.9357,setara,8194
PKM_SBY_039,Tangibles,-1.919,0.055,setara,8175
PKM_SBY_040,Tangibles,-0.297,0.7667,setara,8224
PKM_SBY_041,Tangibles,-0.607,0.5441,setara,8173
PKM_SBY_042,Tangibles,0.843,0.3994,setara,8234
PKM_SBY_043,Tangibles,-1.03,0.3032,setara,8197
PKM_SBY_044,Tangibles,0.23,0.8184,setara,8154
PKM_SBY_045,Tangibles,2.1,0.0358,lebih sering dikeluhkan,8056
PKM_SBY_046,Tangibles,-2.133,0.033,lebih jarang dikeluhkan,8105
PKM_SBY_047,Tangibles,1.339,0.1805,setara,8150
PKM_SBY_048,Tangibles,-0.037,0.9707,setara,8231
PKM_SBY_049,Tangibles,-1.073,0.2831,setara,8195
PKM_SBY_050,Tangibles,0.95,0.3421,setara,8180
PKM_SBY_051,Tangibles,0.273,0.7849,setara,8189
PKM_SBY_052,Tangibles,-0.8,0.4234,setara,8185
PKM_SBY_053,Tangibles,-0.091,0.9276,setara,8140
PKM_SBY_054,Tangibles,-1.393,0.1637,setara,8205
PKM_SBY_055,Tangibles,1.311,0.1899,setara,8149
PKM_SBY_056,Tangibles,-0.037,0.9707,setara,8231
PKM_SBY_057,Tangibles,-1.034,0.3012,setara,8152
PKM_SBY_058,Tangibles,-1.318,0.1875,setara,8183
PKM_SBY_059,Tangibles,0.304,0.7615,setara,8157
PKM_SBY_060,Tangibles,-0.459,0.6461,setara,8199
PKM_SBY_061,Tangibles,-0.201,0.8404,setara,8153
PKM_SBY_062,Tangibles,-0.888,0.3743,setara,8181
PKM_SBY_063,Tangibles,-2.473,0.0134,lebih jarang dikeluhkan,8167
PKM_SMG_001,Tangibles,-1.415,0.1571,setara,8234
PKM_SMG_002,Tangibles,0.456,0.6484,setara,8179
PKM_SMG_003,Tangibles,0.486,0.627,setara,8256
PKM_SMG_004,Tangibles,-1.415,0.1571,setara,8234
PKM_SMG_005,Tangibles,0.491,0.6234,setara,8196
PKM_SMG_006,Tangibles,0.022,0.9821,setara,8215
PKM_SMG_007,Tangibles,1.964,0.0495,lebih sering dikeluhkan,8239
PKM_SMG_008,Tangibles,-0.045,0.964,setara,8213
PKM_SMG_009,Tangibles,1.626,0.104,setara,8223
PKM_SMG_010,Tangibles,-0.549,0.5831,setara,8216
PKM_SMG_011,Tangibles,-1.51,0.1311,setara,8199
PKM_SMG_012,Tangibles,0.834,0.404,setara,8220
PKM_SMG_013,Tangibles,-0.367,0.7138,setara,8242
PKM_SMG_014,Tangibles,-0.492,0.6225,setara,8178
PKM_SMG_015,Tangibles,-0.154,0.8778,setara,8228
PKM_SMG_016,Tangibles,-1.18,0.2378,setara,8244
PKM_SMG_017,Tangibles,0.834,0.404,setara,8220
PKM_SMG_018,Tangibles,2.357,0.0184,lebih sering dikeluhkan,8259
PKM_SMG_019,Tangibles,-0.93,0.3526,setara,8225
PKM_SMG_020,Tangibles,-0.164,0.8697,setara,8191
PKM_SMG_021,Tangibles,-0.367,0.7138,setara,8242
PKM_SMG_022,Tangibles,1.291,0.1968,setara,8190
PKM_SMG_023,Tangibles,-0.233,0.8154,setara,8245
PKM_SMG_024,Tangibles,-0.662,0.5078,setara,8234
PKM_SMG_025,Tangibles,-0.233,0.8154,setara,8245
PKM_SMG_026,Tangibles,1.287,0.198,setara,8229
PKM_SMG_027,Tangibles,-0.348,0.7281,setara,8265
PKM_SMG_028,Tangibles,-0.154,0.8778,setara,8228
PKM_SMG_029,Tangibles,-1.128,0.2594,setara,8246
PKM_SMG_030,Tangibles,-0.448,0.6544,setara,8240
PKM_SMG_031,Tangibles,0.807,0.4196,setara,8205
PKM_SMG_032,Tangibles,-0.843,0.3994,setara,8205
PKM_SMG_033,Tangibles,2.69,0.0071,lebih sering dikeluhkan,8229
PKM_SMG_034,Tangibles,3.028,0.0025,lebih sering dikeluhkan,8249
PKM_SMG_035,Tangibles,0.235,0.8142,setara,8171
PKM_SMG_036,Tangibles,-1.223,0.2213,setara,8213
PKM_SMG_037,Tangibles,-0.852,0.3942,setara,8255
